event_id,batch,track_name,beat_start,beat_duration,bar_index,section,source_row_start,source_row_end,pitch_midi,pitch_name,velocity,channel,program,scale,register_signal,motion_signal,direction_signal,direction_local_average,direction,scale_steps,tension_signal,growth_mass,leaf_energy,root_energy,vitality,growth_speed
204,R2,R2_harp,0.0,1.0,1,germination,0,99,60,C4,50,1,46,D dorian,0.4028285326905729,0.0,0.3092597021710183,0.3097782813985653,-1,2,0.5872290773900403,0.3092597021710183,0.4028285326905729,0.5872290773900403,0.4055069584966902,0.0
205,R2,R2_harp,1.0,1.0,1,germination,100,199,67,G4,50,1,46,D dorian,0.4032267485265162,0.004691198322347437,0.3103924421253301,0.3096541045427567,1,2,0.58733397451217,0.3103924421253301,0.4032267485265162,0.58733397451217,0.40549384086480605,0.004691198322347437
1,R1,R1_marimba,2.0,1.0,1,germination,200,299,55,G3,48,0,12,D dorian,0.5468950606626256,0.009546845108089012,0.3886950061079678,0.3882664595680149,1,2,0.6983305928692625,0.3886950061079678,0.5468950606626256,0.6983305928692625,0.38640012426379927,0.009546845108089012
206,R2,R2_harp,3.0,1.0,1,germination,300,399,62,D4,50,1,46,D dorian,0.40308616519880675,0.0006442775590790842,0.3094985630006657,0.3098104259668967,-1,2,0.5873905579897745,0.3094985630006657,0.40308616519880675,0.5873905579897745,0.4055136482863713,0.0006442775590790842
401,R3,R3_celesta,3.0,1.0,1,germination,300,399,67,G4,40,2,8,D dorian,0.3368454046043754,0.011861457536759644,0.4428115332347736,0.44327829759474835,-1,2,0.36494851473864287,0.4428115332347736,0.3368454046043754,0.36494851473864287,0.2530511584378404,0.011861457536759644
2,R1,R1_marimba,4.0,1.0,2,germination,400,499,53,F3,48,0,12,D dorian,0.5466411862040783,0.008300949151831188,0.3876845379176552,0.38808852496913737,-1,2,0.6983209518572926,0.3876845379176552,0.5466411862040783,0.6983209518572926,0.38641676518925355,0.008300949151831188
402,R3,R3_celesta,5.0,1.0,2,germination,500,599,72,C5,40,2,8,D dorian,0.3370414100873974,0.000386460904529792,0.4449627945397976,0.4430672301495776,1,2,0.36499847869909824,0.4449627945397976,0.3370414100873974,0.36499847869909824,0.25301614657743454,0.000386460904529792
3,R1,R1_marimba,6.0,1.0,2,germination,600,699,57,A3,48,0,12,D dorian,0.5467823868988199,0.02414876186161503,0.38837054342082844,0.3879405385921391,1,2,0.698450865013776,0.38837054342082844,0.5467823868988199,0.698450865013776,0.3864274217309354,0.02414876186161503
207,R2,R2_harp,8.0,1.0,3,germination,800,899,67,G4,50,1,46,D dorian,0.40316802833536425,0.00384203128988905,0.31038111496966936,0.30938514034043624,1,2,0.5873503106634395,0.31038111496966936,0.40316802833536425,0.5873503106634395,0.4054957985826082,0.00384203128988905
403,R3,R3_celesta,8.0,1.0,3,germination,800,899,65,F4,40,2,8,D dorian,0.33715387092082594,0.0007462757556588985,0.4417218892827509,0.4433230485289219,-1,2,0.36495260044818345,0.4417218892827509,0.33715387092082594,0.36495260044818345,0.2529837276993563,0.0007462757556588985
208,R2,R2_harp,10.0,1.0,3,germination,1000,1099,62,D4,50,1,46,D dorian,0.4026302092222734,0.0,0.30812009802209667,0.30950128472911476,-1,2,0.5873493768268984,0.30812009802209667,0.4026302092222734,0.5873493768268984,0.40547497192448995,0.0
4,R1,R1_marimba,11.0,1.0,3,germination,1100,1199,60,C4,48,0,12,D dorian,0.546778070888999,0.015456863159868453,0.3879579536960334,0.3877666940131488,1,2,0.6984951370998534,0.3879579536960334,0.546778070888999,0.6984951370998534,0.3864234665081108,0.015456863159868453
209,R2,R2_harp,12.0,1.0,4,germination,1200,1299,60,C4,50,1,46,D dorian,0.4031520977175633,0.0031715504606339147,0.3092531120221447,0.3092923497969682,-1,2,0.5872178289604825,0.3092531120221447,0.4031520977175633,0.5872178289604825,0.40547124650921146,0.0031715504606339147
5,R1,R1_marimba,13.0,1.0,4,germination,1300,1399,62,D4,48,0,12,D dorian,0.5471510984905908,0.007595867798543019,0.38807600169329104,0.3879303780913962,1,2,0.698493239541036,0.38807600169329104,0.5471510984905908,0.698493239541036,0.3864136433991992,0.007595867798543019
210,R2,R2_harp,13.0,1.0,4,germination,1300,1399,59,B3,50,1,46,D dorian,0.40303731270487525,0.005212200542229768,0.30873055004034683,0.3092175278459335,-1,2,0.5872889039750556,0.30873055004034683,0.40303731270487525,0.5872889039750556,0.4055019817541938,0.005212200542229768
6,R1,R1_marimba,14.0,1.0,4,germination,1400,1499,64,E4,48,0,12,D dorian,0.5466383623959576,0.0015088143971668858,0.3883530061819903,0.38767845850922833,1,2,0.6985224720473466,0.3883530061819903,0.5466383623959576,0.6985224720473466,0.38643996847936407,0.0015088143971668858
404,R3,R3_celesta,14.0,1.0,4,germination,1400,1499,64,E4,40,2,8,D dorian,0.33680738403838817,0.00969573326181746,0.4437995086820268,0.44385936205741694,-1,2,0.36501768455939904,0.4437995086820268,0.33680738403838817,0.36501768455939904,0.25298894758370283,0.00969573326181746
7,R1,R1_marimba,15.0,1.0,4,germination,1500,1599,57,A3,48,0,12,D dorian,0.5465384402860889,2.5957748918025708e-05,0.3862820868197032,0.3879342842857586,-1,2,0.6984740204962436,0.3862820868197032,0.5465384402860889,0.6984740204962436,0.3864324598636597,2.5957748918025708e-05
8,R1,R1_marimba,16.0,1.0,5,germination,1600,1699,60,C4,48,0,12,D dorian,0.5468566744234045,0.013332883663469297,0.3881745944776853,0.38789553011089173,1,2,0.6985422218102411,0.3881745944776853,0.5468566744234045,0.6985422218102411,0.3864440082308253,0.013332883663469297
405,R3,R3_celesta,16.0,1.0,5,germination,1600,1699,62,D4,40,2,8,D dorian,0.33690319776616945,0.0020188697689097774,0.44353543905369125,0.4436770627446339,-1,2,0.3650328071120755,0.44353543905369125,0.33690319776616945,0.3650328071120755,0.2529989379863825,0.0020188697689097774
211,R2,R2_harp,17.0,1.0,5,germination,1700,1799,64,E4,50,1,46,D dorian,0.4026319885773129,0.004013663080811711,0.3097077174103575,0.30933654848323566,1,2,0.5873224012275583,0.3097077174103575,0.4026319885773129,0.5873224012275583,0.405483920791932,0.004013663080811711
406,R3,R3_celesta,18.0,1.0,5,germination,1800,1899,67,G4,40,2,8,D dorian,0.3368859496462692,0.007100141953726745,0.44507315412332116,0.4434465015929403,1,2,0.3650350098677839,0.44507315412332116,0.3368859496462692,0.3650350098677839,0.25297101835608976,0.007100141953726745
9,R1,R1_marimba,20.0,1.0,6,germination,2000,2099,55,G3,48,0,12,D dorian,0.5467823328888629,0.0,0.38760916612223206,0.388072964119482,-1,2,0.6983693602438266,0.38760916612223206,0.5467823328888629,0.6983693602438266,0.38644810220561226,0.0
10,R1,R1_marimba,21.0,1.0,6,germination,2100,2199,60,C4,48,0,12,D dorian,0.5467395408882175,0.022342610161489765,0.3885201466020272,0.3879974207449806,1,2,0.6985798571312201,0.3885201466020272,0.5467395408882175,0.6985798571312201,0.38645046554302437,0.022342610161489765
407,R3,R3_celesta,21.0,1.0,6,germination,2100,2199,65,F4,40,2,8,D dorian,0.33665782408328865,0.018950980984824905,0.4421767936343718,0.443516861471015,-1,2,0.36483729542241017,0.4421767936343718,0.33665782408328865,0.36483729542241017,0.2530155250622515,0.018950980984824905
408,R3,R3_celesta,22.0,1.0,6,germination,2200,2299,71,B4,40,2,8,D dorian,0.33707284107551355,0.017488302963462505,0.44428494477924363,0.4436438815818702,1,2,0.36490004434778506,0.44428494477924363,0.33707284107551355,0.36490004434778506,0.25300670914612455,0.017488302963462505
11,R1,R1_marimba,23.0,1.0,6,germination,2300,2399,60,C4,48,0,12,D dorian,0.5471214733847787,0.0005536985335702486,0.38903986668181384,0.38804481358570164,1,2,0.6984959680152112,0.38903986668181384,0.5471214733847787,0.6984959680152112,0.3864450515129973,0.0005536985335702486
212,R2,R2_harp,23.0,1.0,6,germination,2300,2399,69,A4,50,1,46,D dorian,0.40254591767195985,0.005223493205787115,0.3102218040524882,0.3094389974869788,1,2,0.5872755296472055,0.3102218040524882,0.40254591767195985,0.5872755296472055,0.4054765975479058,0.005223493205787115
213,R2,R2_harp,24.0,1.0,7,germination,2400,2499,64,E4,50,1,46,D dorian,0.40310655724848393,0.0,0.30923586451184865,0.30960900796951135,-1,2,0.5873531205122199,0.30923586451184865,0.40310655724848393,0.5873531205122199,0.40548930507963177,0.0
409,R3,R3_celesta,25.0,1.0,7,germination,2500,2599,67,G4,40,2,8,D dorian,0.3366177670837909,0.009431406671733185,0.44320407223034713,0.44383808821591586,-1,2,0.3649121893414356,0.44320407223034713,0.3366177670837909,0.3649121893414356,0.2530322629965795,0.009431406671733185
