batch,beat_start,beat_duration,pitch_midi,velocity,section
R2,93.0,1.5,60,84,growth
R3,93.0,1.0,69,74,growth
R3,94.0,1.0,69,74,growth
R2,95.0,1.5,67,84,growth
R3,95.0,1.0,74,74,growth
R2,96.0,1.5,74,84,growth
R3,96.0,1.0,67,74,growth
R2,97.0,1.5,74,84,growth
R3,97.0,1.0,67,74,growth
R1,98.0,0.30682483086193024,65,76,growth
R2,98.0,0.3498292457634631,79,84,growth
R3,98.0,0.2719311586052141,62,74,growth
R1,98.5,0.30682483086193024,69,76,growth
R2,98.5,0.3498292457634631,79,84,growth
R3,98.5,0.2719311586052141,62,74,growth
R1,98.75,0.30682483086193024,72,76,growth
R2,98.75,0.3498292457634631,79,84,growth
R3,98.75,0.2719311586052141,62,74,growth
R1,99.0,0.3065085036094597,72,70,growth
R2,99.0,0.3497360984573049,79,79,growth
R3,99.0,0.2722938733450887,62,73,growth
R1,99.5,0.3065085036094597,72,70,growth
R2,99.5,0.3497360984573049,79,79,growth
R3,99.5,0.2722938733450887,62,73,growth
R1,99.75,0.3065085036094597,72,70,growth
R2,99.75,0.3497360984573049,79,79,growth
R3,99.75,0.2722938733450887,62,73,growth
R1,100.0,0.28551937145125694,57,64,growth
R2,100.0,0.29321766945619543,67,73,growth
R3,100.0,0.37521979115870846,74,72,growth
R1,100.5,0.28551937145125694,50,64,growth
R2,100.5,0.29321766945619543,57,73,growth
R3,100.5,0.37521979115870846,84,72,growth
R1,100.75,0.28551937145125694,50,64,growth
R2,100.75,0.29321766945619543,57,73,growth
R3,100.75,0.37521979115870846,84,72,growth
R1,101.0,0.2852564012934535,50,58,growth
R2,101.0,0.29304219622543415,57,67,growth
R3,101.0,0.3749343506120978,84,71,growth
R1,101.5,0.2852564012934535,50,58,growth
R2,101.5,0.29304219622543415,57,67,growth
R3,101.5,0.3749343506120978,84,71,growth
R1,101.75,0.2852564012934535,50,58,growth
R2,101.75,0.29304219622543415,57,67,growth
R3,101.75,0.3749343506120978,84,71,growth
R1,102.0,0.2856734249411853,50,58,growth
R2,102.0,0.293386849320927,57,67,growth
R3,102.0,0.3752038174288689,84,71,growth
R1,102.5,0.2856734249411853,50,58,growth
R2,102.5,0.293386849320927,57,67,growth
R3,102.5,0.3752038174288689,84,71,growth
R1,102.75,0.2856734249411853,50,58,growth
R2,102.75,0.293386849320927,57,67,growth
R3,102.75,0.3752038174288689,84,71,growth
R2,103.0,1.0,57,67,growth
R3,103.0,1.5,84,71,growth
R1,104.0,1.0,53,58,growth
R3,104.0,1.5,84,71,growth
R1,105.0,1.0,57,58,growth
R2,105.0,1.0,62,67,growth
R1,106.0,1.0,55,58,growth
R2,106.0,1.0,67,67,growth
R3,106.0,1.5,74,71,growth
R2,107.0,1.0,65,67,growth
R3,107.0,1.5,77,71,growth
R1,109.0,1.0,55,58,growth
R2,109.0,1.0,65,67,growth
R1,110.0,1.0,60,58,growth
R2,110.0,1.0,67,67,growth
R3,110.0,1.5,69,71,growth
R1,111.0,1.0,62,58,growth
R2,111.0,1.0,69,67,growth
R2,112.0,1.0,67,67,growth
R3,112.0,1.5,77,71,growth
